Symbol,Leg-In Time,Leg-Out Time,Zone High,Zone Low,Status,Higher Timeframe Leg-In Time,Higher Timeframe Leg-Out Time,Higher Timeframe Zone High,Higher Timeframe Zone Low
HINDALCO.NS,2023-07-21 00:00:00,2023-07-25 00:00:00,437.54998779296875,431.5,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,463.25,462.1000061035156
HINDALCO.NS,2023-07-25 00:00:00,2023-07-31 00:00:00,459.6000061035156,443.3999938964844,Tested,2023-07-01 00:00:00,2023-09-01 00:00:00,463.25,462.1000061035156
HINDALCO.NS,2023-08-21 00:00:00,2023-08-23 00:00:00,454.3999938964844,448.3500061035156,Tested,2023-07-01 00:00:00,2023-09-01 00:00:00,463.25,462.1000061035156
HINDALCO.NS,2023-08-29 00:00:00,2023-09-01 00:00:00,465.1499938964844,455.75,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,463.25,462.1000061035156
TATACONSUM.NS,2023-09-01 00:00:00,2023-09-06 00:00:00,852.4000244140625,837.0,Target Achieved,2023-09-01 00:00:00,2023-11-01 00:00:00,909.9000244140625,895.7000122070312
TATACONSUM.NS,2023-09-11 00:00:00,2023-09-13 00:00:00,874.0,856.0,Tested,2023-09-01 00:00:00,2023-11-01 00:00:00,909.9000244140625,895.7000122070312
TATACONSUM.NS,2023-09-20 00:00:00,2023-09-25 00:00:00,889.8499755859375,861.2000122070312,Tested,2023-09-01 00:00:00,2023-11-01 00:00:00,909.9000244140625,895.7000122070312
TATACONSUM.NS,2023-10-11 00:00:00,2023-10-13 00:00:00,894.1500244140625,883.2000122070312,Tested,2023-09-01 00:00:00,2023-11-01 00:00:00,909.9000244140625,895.7000122070312
APOLLOHOSP.NS,2023-02-06 00:00:00,2023-02-08 00:00:00,4360.0,4271.35009765625,Tested,2023-01-01 00:00:00,2023-06-01 00:00:00,4516.7001953125,4686.0
APOLLOHOSP.NS,2023-04-05 00:00:00,2023-04-12 00:00:00,4286.7998046875,4183.14990234375,Target Achieved,2023-01-01 00:00:00,2023-06-01 00:00:00,4516.7001953125,4686.0
APOLLOHOSP.NS,2023-05-18 00:00:00,2023-05-22 00:00:00,4465.0,4410.25,Fresh,2023-01-01 00:00:00,2023-06-01 00:00:00,4516.7001953125,4686.0
